Employee_ID,Name,Age,Gender,Department,Job_Role,Education_Level,Years_of_Experience,Monthly_Salary_USD,Work_Hours_Per_Week,Projects_Completed,Training_Hours,Attendance_Rate,Job_Satisfaction_Score,Performance_Score,Performance_Rating,Promotion_Last_Year
0,7357,50,1,5,3,2,24,131090,55,19,74,83.78,9.59,100,1,1
1,9354,43,0,3,1,1,19,115658,31,21,32,79.13,9.91,89.56,1,1
2,998,49,1,4,1,0,26,131606,59,19,54,99.5,9.9,100,1,1
3,8901,42,0,3,5,0,22,113483,43,18,8,70.48,9.22,100,1,1
4,6513,28,0,6,2,0,5,73417,46,4,49,89.88,5.67,76.31,2,1
5,2920,50,0,3,0,3,24,85851,59,4,13,91.82,6.22,80.58,2,1
6,3622,42,0,6,3,2,15,62695,55,13,40,78.89,6.33,76.94,2,1
7,4283,32,1,0,2,2,10,112256,56,5,40,97.45,8.45,72.88,2,1
8,1181,44,0,0,4,0,19,105453,51,3,64,81.49,8.46,76.77,2,1
9,3456,30,1,1,4,0,4,66374,48,7,51,86.9,7.6,71.79,2,1
10,3969,50,1,6,2,1,27,159163,51,2,41,94.24,10,98.14,1,1
11,356,41,1,1,4,1,16,49474,36,1,0,76.84,5.84,61.31,0,1
12,619,29,1,5,5,0,7,158840,39,12,23,98.29,6.99,90.16,1,1
13,4198,33,1,0,5,2,8,128623,46,24,58,88.29,10,100,1,1
14,6661,54,0,1,3,0,34,102688,55,6,31,87.78,9.04,97.28,1,1
15,8121,59,0,1,1,0,32,105708,40,16,15,95.06,9.43,100,1,1
16,9250,24,0,3,2,0,1,161295,32,19,19,89.36,8.12,90.37,1,1
17,1457,39,1,3,5,0,12,106371,47,23,30,96.32,8.77,100,1,1
18,6749,23,1,3,3,0,3,94499,56,23,8,78.37,10,98.21,1,1
19,5209,45,1,3,2,2,20,78360,37,4,37,90.07,7.9,67.34,0,0
20,4568,50,0,1,0,0,29,176831,32,16,60,76.73,10,100,1,1
21,4748,41,1,6,2,2,14,169909,30,16,75,85.26,10,96.38,1,1
22,4602,59,0,0,2,0,35,164543,50,1,27,90.07,9.47,89.65,1,1
23,2274,40,0,2,5,0,17,156235,57,14,5,81.1,8.85,89.24,1,1
24,6277,54,0,5,5,0,31,146958,32,18,24,81.84,10,100,1,1
25,1566,48,1,2,5,1,27,140993,40,22,47,86.58,8.31,100,1,1
26,5196,46,0,1,5,1,19,177922,42,20,64,72.13,9.87,100,1,1
27,2281,44,1,1,1,0,18,170135,54,22,57,95.81,8.12,100,1,1
28,361,26,0,5,4,0,1,35177,44,3,54,74.15,3.06,50.51,3,0
29,1001,47,0,4,5,0,23,65237,50,1,57,97.46,7.51,78.54,2,0
30,1735,22,0,6,3,2,1,174664,58,23,66,77.43,9.29,100,1,1
31,1968,50,0,6,5,0,25,152752,43,20,68,84.23,9.07,100,1,1
32,5755,51,1,1,1,0,27,101975,33,2,51,81.24,10,81.79,2,0
33,7046,25,1,6,0,0,1,65052,57,20,23,90.32,8.5,82.98,2,1
34,6571,58,1,2,0,0,35,115351,41,13,11,73.02,10,100,1,1
35,339,50,1,4,0,2,29,97543,38,7,67,90.79,9.82,100,1,1
36,4516,57,0,2,4,3,37,127841,34,9,23,94.21,10,100,1,1
37,8650,53,1,5,4,1,26,140517,52,13,22,92.64,10,100,1,1
38,3632,34,1,3,4,0,12,122307,38,19,75,80.65,10,100,1,1
39,5072,40,1,5,3,2,19,99348,41,20,52,93.75,9.99,100,1,1
40,5741,56,1,0,0,2,30,111677,41,9,73,95.11,10,100,1,1
41,3805,34,0,1,2,0,7,77080,31,5,28,72.55,5.6,60.81,0,0
